university,URL,Acronym,country,ranking_latin_america,ranking_world,Presence, Impact ,Opening ,excellence ,accessibility_errors,accessibility_alerts,accessibility_features,structural_elements,html5_aria,contrast_errors
Faculdade de Direito de São Bernardo do Campo,http://www.direitosbc.br/,direitosbc,Brazil,1528,16380,15404,15718,8635,5778,20,27,0,96,47,16
Escuela Normal Graciela Pintado de Madrazo,http://www.enee.edu.mx/,enee,Mexico,3619,25876,25981,25407,8635,5778,20,21,0,12,1,7
Universidad Tecnológica de Chihuahua,http://www.utch.edu.mx/,utch,Mexico,1721,17505,6386,19054,8635,5778,19,33,41,34,60,34
Faculdade de Tecnología Herrero,http://www.herrero.com.br/,herrero,Brazil,2838,22573,20296,22593,8635,5778,19,16,39,11,4,41
Universidad Metropolitana de Ciencias de la Educacion,http://www.umce.cl/,umce,Chile,425,4563,4807,8471,6115,4142,19,69,36,47,4,30
Instituto Profesional de Chile,http://www.ipchile.cl/,ipchile,Chile,1351,14994,4883,16132,8635,5778,19,44,36,22,1,19
Universidade da Paz Campus Brasília UNIPAZ,http://www.unipazdf.org.br/,unipazdf,Brazil,3087,23611,24411,23057,8635,5778,19,31,15,40,8,54
Instituto Tecnológico de Chihuahua II,http://www.itchihuahuaii.edu.mx/,itchihuahuaii,Mexico,1835,18120,18214,17379,8635,5778,19,23,14,7,5,42
Instituto de Ciências Sociais e Humanas INCISOH,http://www.incisoh.com.br/,incisoh,Brazil,902,10566,12388,8245,8635,5778,18,23,18,36,23,21
Instituto Multidisciplinario de Especialización de Oaxaca,http://www.ime.edu.mx/,ime,Mexico,3274,24327,24260,24055,8635,5778,18,12,13,45,6,20
Universidad Obrera de México,http://www.uom.mx/,uom,Mexico,1513,16245,13583,15982,8635,5778,18,28,11,28,7,30
Faculdade Municipal Professor Franco Montoro,http://fmpfm.edu.br/,fmpfm,Brazil,2378,20628,20108,20225,8635,5778,18,2,1,18,11,0
Universidad Autónoma del Estado de México,http://www.uaemex.mx/,uaemex,Mexico,58,1405,1126,1447,1857,1992,17,365,83,70,14,24
Universidad Simón Bolívar Colombia,http://www.unisimon.edu.co/,unisimon,Colombia,676,7286,9341,15174,4302,4482,17,45,78,46,41,80
Universidad del Valle del Fuerte,http://www.univafu.edu.mx/,univafu,Mexico,2324,20363,21757,19492,8635,5778,17,19,38,40,7,60
Centro de Estudios Superiores Hernán Cortés,http://www.uhc.com.mx/,uhc,Mexico,3621,25883,25289,25818,8635,5778,17,4,28,24,3,19
Faculdade Cantareira,http://www.cantareira.br/,cantareira,Brazil,1338,14863,12761,14234,8635,5778,17,10,21,49,9,13
Corporación Universitaria de Colombia IDEAS,http://ideas.edu.co/,ideas,Colombia,2437,20891,20069,20575,8635,5778,17,54,14,51,16,45
Instituto Padre Machado,http://padremachado.edu.br/,padremachado,Brazil,2094,19363,14107,19920,8635,5778,17,36,5,27,37,26
Universidad ISAE Panamá,http://www.isaeuniversidad.ac.pa/,isaeuniversidad,Panama,2387,20643,19097,20491,8635,5778,16,22,55,45,37,61
Universidad Incca de Colombia,http://www.unincca.edu.co/,unincca,Colombia,1135,13075,13180,11521,8635,5778,16,40,30,34,0,33
Faculdade do Seridó,http://www.faculdadedoserido.com.br/,faculdadedoserido,Brazil,3007,23200,20074,23426,8635,5778,16,59,27,44,16,39
Universidad Politecnica de la Region Riberena,http://www.uprr.edu.mx/,uprr,Mexico,2956,23015,15175,23933,8635,5778,16,100,13,43,0,26
Universidad de Zamora,http://www.universidaddezamora.edu.mx/,universidaddezamora,Mexico,2997,23150,18447,23672,8635,5778,16,46,13,54,25,105
Colegio de Negocios Internacionales,http://cni.edu.mx/,cni,Mexico,3537,25424,24904,25297,8635,5778,16,10,13,11,9,8
Faculdade Lions,http://faclions.com.br/,faclions,Brazil,3066,23474,20671,23678,8635,5778,16,10,2,54,19,15
Universidad Autónoma de la Ciudad de México,http://www.uacm.edu.mx/,uacm,Mexico,365,4033,6999,9372,4125,3566,15,73,58,142,11,11
Faculdade de Tecnologia Apoena FTA,http://www.faculdadeapoena.com.br/,faculdadeapoena,Brazil,2712,22070,11902,23419,8635,5778,15,15,54,61,57,113
Instituto de Ciencia y Cultura,http://www.iccac.edu.mx/,iccac,Mexico,3507,25297,25177,25041,8635,5778,15,11,39,21,16,17
Universidad Maya,http://www.universidadmaya.edu.mx/,universidadmaya,Mexico,3501,25270,20408,25516,8635,5778,15,34,30,67,14,55
Universidad APEC,http://unapec.edu.do/,unapec,Dominica,985,11485,12070,9623,8635,5778,15,30,26,131,0,19
Centro Universitário Fieo UNIFIEO,http://www.unifieo.br/,unifieo,Brazil,674,7281,14222,12959,3400,4916,15,2,11,19,4,3
Institución Universitaria Colombo Americana,http://www.unica.edu.co/,unica,Colombia,2534,21266,20436,21013,8635,5778,15,30,3,29,3,5
Faculdade Santa Rita Novo Horizonte,http://fasar.edu.br/,fasar,Brazil,2811,22484,4961,24541,8635,5778,15,36,0,26,1,10
Panamericana Escola de Arte e Design PANAMERICANA,http://www.escola-panamericana.com.br/,escola-panamericana,Brazil,1199,13664,16325,11687,8635,5778,14,37,222,83,215,50
Instituto Evolução,http://www.institutoevolucao.edu.br/,institutoevolucao,Brazil,3527,25365,23382,25407,8635,5778,14,19,21,56,4,25
Faculdade e Escola Técnica LS,http://www.ls.edu.br/,ls,Brazil,2264,20128,20003,21745,8635,5228,14,25,16,57,26,7
Escuela de Gestión Europea,http://www.egeu.cl/,egeu,Chile,2165,19686,14851,22825,7178,5778,14,6,7,38,10,49
Faculdade Paulista de Artes FPA,http://fpa.art.br/,fpa,Brazil,1873,18316,16255,18094,8635,5778,14,30,6,43,4,56
Escuela Normal Superior de Chiapas,http://www.ensch.edu.mx/,ensch,Mexico,3416,24906,16805,25407,8635,5778,14,12,6,11,22,25
Université Notre Dame d'Haïti Faculté de Médecine et des Sciences de la Santé,http://www.undh-fmss.org/,undh-fmss,Haití,3298,24411,25899,22825,8635,5778,13,34,35,81,41,8
Instituto Federal de Educação Ciência e Tecnologia de Roraima,http://www.ifrr.edu.br/,ifrr,Brazil,936,10880,3975,14525,6495,5778,13,32,26,65,9,37
Instituto Adventista Paranaense IAP,http://www.iap.org.br/,iap,Brazil,823,9431,6999,7888,8635,5778,13,5,25,20,4,8
Instituto Tecnológico de Iguala,http://www.itiguala.edu.mx/,itiguala,Mexico,2563,21379,16860,21843,8635,5778,13,77,24,36,13,12
Instituto Científico Técnico y Educativo,http://www.universidadicte.edu.mx/,universidadicte,Mexico,3327,24538,25313,23933,8635,5778,13,41,13,12,12,10
Faculdade de Tecnologia de Garça FATEC,http://www.fatecgarca.edu.br/,fatecgarca,Brazil,2549,21309,18504,21461,8635,5778,13,5,7,34,44,32
Faculdades ICESP PROMOVE de Brasilia,http://faculdadepromove.br/,faculdadepromove,Brazil,1532,16432,12924,16346,8635,5778,13,3,5,11,3,1
Faculdade de Campina Grande do Sul FASUL,http://facsul.edu.br/,facsul,Brazil,2923,22892,21317,22825,8635,5778,13,4,2,15,9,19
Universidad Libre Cali,http://www.unilibrecali.edu.co/,unilibrecali,Colombia,605,6428,6560,5450,7463,5778,12,36,98,94,24,19
Universidad Privada Franz Tamayo,http://www.unifranz.edu.bo/,unifranz,Bolivia ,1365,15090,6326,15940,8635,5778,12,21,89,70,88,22
Universidad Fidélitas,http://ufidelitas.ac.cr/,ufidelitas,Costa Rica,1531,16432,17257,15339,8635,5778,12,30,36,34,154,21
Faculdade Maringá,http://www.faculdadesmaringa.br/,faculdadesmaringa,Brazil,1872,18316,14746,18456,8635,5778,12,12,21,24,0,49
Faculdades Adventistas de Minas Gerais FADMINAS,http://www.fadminas.org.br/,fadminas,Brazil,2088,19339,15301,19655,8635,5778,12,52,17,59,16,15
Faculdades de Taquara FACCAT,http://www.faccat.br/,faccat,Brazil,543,5686,3924,5459,6334,5778,12,10,17,38,14,0
Universidad del Caribe Panamá,http://ucaribe.edu.pa/,ucaribe,Panama,3249,24192,22001,24316,8635,5778,12,39,16,41,5,58
Faculdade de Nova Serrana FANS,http://www.fans.edu.br/,fans,Brazil,3173,23901,20551,24176,8635,5778,12,13,8,40,7,24
Universidad de Integracion de las Américas,http://www.unida.edu.py/,unida,Paraguay,1705,17439,16255,16887,8635,5778,12,16,3,50,9,23
Centro Universitario Interamericano Sistema CEUNI,http://www.sistemaceuni.mx/,sistemaceuni,Mexico,3383,24782,20462,25041,8635,5778,12,10,2,29,10,10
Instituto Tecnológico de Chilpancingo,http://www.itchilpancingo.edu.mx/,itchilpancingo,Mexico,2809,22480,21863,22167,8635,5778,11,118,44,43,11,26
Universidad del Quindío,http://www.uniquindio.edu.co/,uniquindio,Colombia,308,3655,1657,9524,3691,3381,11,202,43,80,22,32
Faculdade de Ciências Económicas Administrativas e Contabeis de Divinopolis FACED,http://www.faced.br/,faced,Brazil,1980,18840,13936,19356,8635,5778,11,186,38,51,17,90
Northern Caribbean University,http://www.ncu.edu.jm/,ncu,Jamaica,794,9075,9023,10711,8635,4916,11,51,38,12,7,37
Faculdade de Tecnologia IAPEC,http://www.iapec.com.br/,iapec,Brazil,3202,24006,24065,23678,8635,5778,11,60,29,13,9,48
Faculdades Integradas de Mineiros UNIFIMES,http://www.fimes.edu.br/,fimes,Brazil,1414,15532,12390,15285,8635,5778,11,54,16,10,14,58
Universidade Estadual de Santa Cruz UESC,http://www.uesc.br/,uesc,Brazil,180,2640,3481,6165,2215,2461,11,42,12,12,0,64
União Latino Americana de Tecnología ULT,http://ult.com.br/,ult,Brazil,2710,22070,19429,22167,8635,5778,11,5,0,22,5,11
Universidad de Sucre,http://www.unisucre.edu.co/,unisucre,Colombia,587,6238,5046,10209,4816,5228,10,100,44,73,6,96
Universidade Federal de Lavras UFLA,http://www.ufla.br/,ufla,Brazil,76,1534,1038,3348,1183,1553,10,61,13,65,2,39
Universidad del Norte Paraguay,http://www.uninorte.edu.py/,uninorte,Paraguay,1186,13537,7831,13357,8635,5778,10,11,10,35,9,15
CESV Centro de Ensino Superior de Vitória,http://cesv.br/,cesv,Brazil,2474,21032,19194,21010,8635,5778,10,6,5,40,4,39
Escola e Faculdade Luterana São Marcos,http://saomarcos.br/,saomarcos,Brazil,2030,19076,15126,19356,8635,5778,10,2,0,1,0,0
Faculdade Guairacá Guarapuava,http://guairaca.com.br/,guairaca,Brazil,2351,20526,10847,21934,8635,5778,10,1,0,6,17,6
Universidad del Valle Cali,http://www.univalle.edu.co/,univalle,Colombia,113,1990,987,2095,7401,1777,9,559,111,95,5,242
FAG Faculdade Guaraí,http://www.faculdadeguarai.com.br/,faculdadeguarai,Brazil,2528,21256,16654,21745,8635,5778,9,30,25,64,22,39
Faculdades Integradas de Ourinhos FIO,http://www.fio.edu.br/,fio,Brazil,1134,13068,15924,16395,7274,5228,9,43,22,72,19,64
Faculdade de Enfermagen Nova Esperança,http://www.facenemossoro.com.br/,facenemossoro,Brazil,2899,22811,16996,23426,8635,5778,9,32,17,70,22,72
Escola da Cidade Faculdade de Arquitetura e Urbanismo AEAUSP,http://www.escoladacidade.org/,escoladacidade,Brazil,1520,16311,13734,16059,8635,5778,9,3,16,34,5,16
Corporación Universitaria Minuto de Dios UNIMINUTO,http://www.uniminuto.edu/,uniminuto,Colombia,493,5131,1476,4708,6491,5778,9,10,13,47,171,5
Faculdade de Tecnología CETEP,http://www.cetepensino.com.br/,cetepensino,Brazil,1945,18687,10591,19853,8635,5778,9,10,12,22,3,38
Escola de Pos-Graduacao em Economia da Fundacao Getulio Vargas,http://www.epge.fgv.br/,epge,Brazil,743,8311,8789,11954,8635,4330,9,24,9,28,6,41
Instituto Nacional de Ciencias Agrícolas,http://www.inca.edu.cu/,inca,Cuba,1105,12825,11637,17672,3918,5778,9,1,5,11,4,6
CESDE,http://www.cesde.edu.co/,cesde,Colombia,1439,15697,7517,16565,8635,5778,9,7,1,38,17,15
Instituto Federal do Acre IFAC,http://portal.ifac.edu.br/,ifac,Brazil,809,9268,3159,11778,7145,5778,8,30,23,70,41,22
Universidad Ciencias de la informática,http://www.ucinf.cl/,ucinf,Chile,1204,13695,13562,12360,8635,5778,8,17,21,44,93,2
Escuela de Comunicación Mónica Herrera,http://monicaherrera.edu.sv/,monicaherrera,El Salvador,1587,16786,17662,15683,8635,5778,8,8,17,16,5,20
"Faculdade de Ciências, Educação e Teologia do Norte do Brasil",http://www.faceten.edu.br/,faceten,Brazil,3207,24028,21464,24176,8635,5778,8,25,16,36,10,61
Instituto Profesional de Ciencias y Artes INCA-CEA,http://incacea.cl/,incacea,Chile,2560,21365,24334,20008,8635,5778,8,3,14,15,6,12
Fundación Tecnólogica de Madrid,http://www.ftm.edu.co/,ftm,Colombia,3318,24492,20235,24802,8635,5778,8,12,9,9,11,20
Instituto Federal de Ciência e Tecnologia de Sergipe IFS,http://www.ifs.edu.br/,ifs,Brazil,799,9142,7349,11848,5877,5778,8,30,8,80,21,10
Faculdade de Ciências de Wenceslau Braz FACIBRA,http://facibra.edu.br/,facibra,Brazil,3315,24462,25843,23057,8635,5778,8,3,3,18,5,32
International University for Graduate Studies,http://iugrad.edu.dm/,iugrad,Dominica,2269,20145,22117,19115,8635,5778,8,43,2,20,74,2
Faculdades do Vale do Juruena AJES,http://www.ajes.edu.br/,ajes,Brazil,1701,17408,12543,17672,8635,5778,8,2,0,2,0,0
Universidad Surcolombiana,http://www.usco.edu.co/,usco,Colombia,453,4786,3009,12007,5325,3795,7,746,73,163,53,127
Universidade Federal do Piauí UFPI,http://www.ufpi.br/,ufpi,Brazil,138,2235,1538,4979,2050,2200,7,123,43,57,37,23
Instituto de Ciências Humanas e da Informação ICHI,http://www.ichi.furg.br/,ichi,Brazil,3172,23896,15938,24666,8635,5778,7,15,14,13,7,58
Faculdades Sudamérica,http://www.sudamerica.edu.br/,sudamerica,Brazil,1729,17536,7650,18883,8635,5778,7,30,10,35,10,31
Instituto Superior de Educação de Barretos ISEB,http://www.isebarretos.edu.br/,isebarretos,Brazil,3239,24166,22658,24176,8635,5778,7,28,8,9,0,11
Instituto Tecnológico de Nochistlán,http://itsn.edu.mx/,itsn,Mexico,2679,21913,9959,23564,8635,5778,7,5,8,24,2,35
Universidad Unidad,http://uunidad.edu.bo/,uunidad,Bolivia ,3526,25356,25381,25041,8635,5778,7,16,1,25,70,0
Politécnico de Punta del Este,http://www.politecnico.edu.uy/,politecnico,Uruguay,3331,24555,24382,24316,8635,5778,7,15,0,10,0,4
Faculdade Educacional de Colombo INESUL,http://www.faecpr.edu.br/,faecpr,Brazil,2305,20293,13156,21256,8635,5778,7,1,0,2,0,0
Centro Colombiano de Estudios Profesionales,http://www.cecep.edu.co/,cecep,Colombia,1865,18293,11405,19115,8635,5778,6,63,43,48,0,76
Universidad El Bosque,http://www.uelbosque.edu.co/,uelbosque,Colombia,449,4763,7575,10161,8635,2775,6,32,33,64,30,51
Universidad Autónoma de Asunción,http://www.uaa.edu.py/,uaa,Paraguay,616,6614,7456,3619,8635,5778,6,42,32,14,0,2
Faculdade de Teologia e Filosofia Siloé,http://www.fatesi.com.br/,fatesi,Brazil,3428,24939,24736,24666,8635,5778,6,72,31,18,50,49
Universidad de Córdoba Colombia,http://www.unicordoba.edu.co/,unicordoba,Colombia,277,3425,4224,5429,3139,3860,6,27,28,64,4,28
Universidad de las Américas Nicaragua,http://www.ulam.edu.ni/,ulam,Nicaragua,2654,21784,25019,20153,8635,5778,6,22,20,47,9,28
União de Escolas Superiores de Olinda FUNESO,http://funeso.com.br/,funeso,Brazil,2116,19421,17567,19205,8635,5778,6,44,16,51,0,64
Universidade Federal da Integração Latino-Americana,http://www.unila.edu.br/,unila,Brazil,356,3945,2412,8232,2775,4244,6,62,13,77,6,65
University of Health Sciences Antigua West Indies,http://www.uhsa.ag/,uhsa,Antigua Barbuda,1418,15561,19429,13622,8635,5778,6,6,8,32,18,10
Instituto Tecnológico de Costa Rica,http://www.tec.ac.cr/,tec,Costa Rica,215,2976,1641,3736,2098,4032,6,44,7,72,14,9
Instituto de Terapia Gestalt de Valencia,http://www.itgestalt.com/,itgestalt,Mexico,1673,17246,18965,16059,8635,5778,6,18,7,31,12,29
Instituto Politécnico Nacional,http://www.ipn.mx/,ipn,Mexico,32,830,644,1527,1217,815,5,52,69,92,4,21
Universidad de la República,http://fcea.edu.uy/,fcea,Uruguay,1622,16990,6624,18410,8635,5778,5,30,46,53,22,13
Faculdade Latino Americana de Ciências Sociais FLACSO,http://flacso.org.br/,flacso,Brazil,1103,12798,11515,11537,8635,5778,5,29,43,58,60,4
Universidad Autónoma Intercultural de Sinaloa,http://uais.edu.mx/,uais,Mexico,2066,19233,16562,19205,8635,5778,5,67,37,31,0,16
Faculdade de Tecnología de Praia Grande CEETEPS,http://www.fatecpg.com.br/,fatecpg,Brazil,2070,19233,12150,20153,8635,5778,5,39,37,80,5,0
Aden Business School Universidad Alta Dirección,http://www.aden.org/,aden,Panama,1405,15472,18819,13652,8635,5778,5,62,29,55,33,97
INCAE Business School,http://www.incae.edu/,incae,Costa Rica,348,3911,3684,5880,4243,4330,5,12,22,22,0,54
Universidad Agroforestal Fernando Arturo de Meriño,http://uafam.edu.do/,uafam,República Dominicana,2522,21233,23002,20315,8635,5778,5,24,19,34,6,30
Instituto Centro de Ensino Tecnologico,http://www.centec.org.br/,centec,Brazil,1434,15673,13785,15174,8635,5778,5,33,18,21,0,18
Instituto Mexicano de la Pareja,http://www.ametep.com.mx/,ametep,Mexico,2593,21497,21757,21013,8635,5778,5,14,18,77,9,60
Fundação Universitária de Itaperuna FUNITA,http://www.funita.edu.br/,funita,Brazil,3123,23738,25981,21461,8635,5778,5,15,11,15,6,1
Unidade de Ensino Superior de Feira de Santana UNEF,http://www.unef.edu.br/,unef,Brazil,1844,18161,15620,18046,8635,5778,5,2,11,4,4,1
Fundação Helena Antipoff FHA,http://www.fha.mg.gov.br/,fha,Brazil,2632,21686,15853,22396,8635,5778,5,13,9,13,3,5
Centro de Ensino Superior de Arcoverde,http://www.aesa-cesa.br/,aesa-cesa,Brazil,2218,19963,19367,19568,8635,5778,5,42,7,59,10,66
Colegio de Jalisco,http://coljal.edu.mx/,coljal,Mexico,1124,13013,7431,16887,6275,5778,5,39,5,37,0,27
Instituto Municipal de Ensino Superior de Catanduva IMES,http://www.fafica.br/,fafica,Brazil,2028,19071,16229,19054,8635,5778,5,5,0,29,0,37
Faculdade de Ensino Superior de Floriano FAESF,http://www.faesfpi.com.br/,faesfpi,Brazil,2402,20736,12098,21934,8635,5778,5,2,0,5,1,1
Centro de Desarrollo Humano y Psicoterapia Gestalt,http://gestaltoaxaca.com/,gestaltoaxaca,Mexico,3347,24613,23427,24541,8635,5778,4,30,72,5,67,5
UNIESSA,http://uniessa.com.br/,uniessa,Brazil,3270,24327,25981,22487,8635,5778,4,39,51,43,26,56
All Saints University,http://www.allsaintsuniversity.org/,allsaintsuniversity,Dominica,1750,17629,23939,17434,8635,5228,4,31,28,17,2,18
Universidad Escuela Libre de Derecho,http://www.uescuelalibre.ac.cr/,uescuelalibre,Costa Rica,2366,20595,17922,20663,8635,5778,4,7,11,34,4,26
Universidad Marista Campus Ciudad de México,http://uma.maristas.edu.mx/,uma,Mexico,1839,18133,17470,17561,8635,5778,4,4,4,12,6,17
Faculdade Anglicana de Tapejara FAT,http://www.fatrs.com.br/,fatrs,Brazil,3477,25180,19057,25516,8635,5778,4,1,3,0,0,0
Centro de Estudos Ambientais do Vale do Paraíba,http://www.ceavap.com.br/,ceavap,Brazil,3427,24930,25588,24176,8635,5778,4,7,2,8,5,7
Faculdade Social da Bahia,http://www.faculdadesocial.edu.br/,faculdadesocial,Brazil,1716,17473,14771,17285,8635,5778,4,10,1,3,5,3
CEI Punta del Este,http://www.cei.edu.uy/,cei,Uruguay,2890,22776,22172,22487,8635,5778,3,33,45,18,0,1
Universidad Estatal a Distancia Costa Rica,http://www.uned.ac.cr/,uned,Costa Rica,484,5053,2956,5729,6625,5228,3,39,37,22,19,18
Instituto Tecnológico de la Costa Chica,http://www.tscch.edu.mx/,tscch,Mexico,2873,22707,15508,23564,8635,5778,3,44,25,24,6,46
Fundación Tecnológica Rural Coredi FUNTEC,http://www.tecnologicocoredi.edu.co/,tecnologicocoredi,Colombia,3638,25983,22773,26034,8635,5778,3,22,25,26,18,39
Instituto de Ensino Superior Materdei IES,http://www.iesmaterdei.com.br/,iesmaterdei,Brazil,3107,23682,23889,23306,8635,5778,3,13,20,17,43,12
Faculdade dos Guararapes,http://www.faculdadeguararapes.edu.br/,faculdadeguararapes,Brazil,1182,13515,14929,14669,7463,5778,3,7,19,3,4,8
Faculdade Católica de Uberlândia,http://catolicaonline.com.br/,catolicaonline,Brazil,1608,16905,11562,17232,8635,5778,3,16,13,16,4,9
Universidad de Oriente Venezuela,http://www.udo.edu.ve/,udo,Venezuela,250,3212,2765,6358,3526,3304,3,12,12,33,0,45
Centro de Estudios Superiores Universitarios,http://www.cesu.com.mx/,cesu,Mexico,3468,25140,24924,24932,8635,5778,3,18,7,13,1,1
Faculdade de Guanambi,http://faculdadeguanambi.edu.br/,faculdadeguanambi,Brazil,1687,17331,1516,20315,8635,5778,3,31,4,31,16,16
Universidad Tecnológica de la Mixteca,http://www.utm.mx/,utm,Mexico,302,3613,5595,8471,4027,3184,2,25,66,25,0,8
Universidad de Guadalajara,http://www.udg.mx/,udg,Mexico,36,888,479,681,1555,1571,2,13,65,77,4,3
Universidad Pedagógica de El Salvador,http://www.pedagogica.edu.sv/,pedagogica,El Salvador,1266,14326,11248,13802,8635,5778,2,186,48,53,4,14
Universidade Estadual de Feira de Santana UEFS,http://www.uefs.br/,uefs,Brazil,108,1966,2986,3321,1461,2182,2,54,40,63,0,22
Faculdade de Tecnologia Rubens Lara Baixada Santista,http://www.fatecbs.edu.br/,fatecbs,Brazil,3159,23846,25981,21639,8635,5778,2,12,34,61,43,16
Universidad del Turabo,http://ut.suagm.edu/,ut,Puerto Rico,830,9515,12676,12853,8635,4330,2,8,12,27,5,29
Universidad Loyola de Bolivia,http://www.loyola.edu.bo/,loyola,Bolivia ,1407,15494,14867,14669,8635,5778,2,182,10,22,0,31
Escuela Normal de Tlalnepantla,http://www.escnormaltlalnepantla.edu.mx/,escnormaltlalnepantla,Mexico,3429,24953,23468,24932,8635,5778,2,23,9,18,0,9
Faculdade IDEAU,http://www.ideau.com.br/,ideau,Brazil,1578,16752,9694,17434,8635,5778,2,1,9,3,2,3
Faculdade São Miguel,http://www.faculdadesaomiguel.com.br/,faculdadesaomiguel,Brazil,2302,20284,19556,19920,8635,5778,2,1,6,2,1,7
Pontificia Universidade Católica de São Paulo PUC-SP,http://www.pucsp.br/,pucsp,Brazil,135,2216,767,2049,1083,3721,2,5,3,2,0,0
Faculdade do Litoral Sul Paulista FALS,http://www.fals.com.br/,fals,Brazil,2427,20824,18925,20758,8635,5778,2,4,2,13,0,13
Universidad de Matanzas Camilo Cienfuegos,http://www.umcc.cu/,umcc,Cuba,529,5549,9152,12890,6566,3617,2,2,2,4,0,2
Universidade Paranaense UNIPAR,http://www.unipar.br/,unipar,Brazil,325,3768,4385,7871,3314,3795,2,2,1,1,1,2
Universidad Nacional Experimental de Guayana,http://www.uneg.edu.ve/,uneg,Venezuela,563,5970,2107,12381,5376,4673,2,9,0,1,0,0
Instituto de Posgrados y Especialidades,http://www.ipes.com.mx/,ipes,Mexico,3560,25537,25981,24802,8635,5778,2,3,0,0,0,0
Centro Educacional do Alto São Francisco,http://www.ceasf.com.br/,ceasf,Brazil,3546,25467,25981,24666,8635,5778,2,1,0,0,0,0
Fundação Herminio Ometto FHO UNIARARAS,http://www.uniararas.br/,uniararas,Brazil,436,4650,5176,11011,3352,4142,2,1,0,2,0,3
Instituto Tecnológico de Tlalnepantla,http://www.ittla.edu.mx/,ittla,Mexico,1492,16074,9128,19205,7672,5778,1,111,29,7,15,14
Centro Universitario de Integración Humanística A.C.,http://cuih.edu.mx/,cuih,Mexico,2793,22409,14130,23426,8635,5778,1,4,20,11,0,15
Faculdade de Betim AAS,http://www.faculdadeaas.com.br/,faculdadeaas,Brazil,3484,25204,19479,25516,8635,5778,1,3,20,3,35,7
Universidad Rómulo Gallegos,http://www.unerg.edu.ve/,unerg,Venezuela,1303,14582,9560,14549,8635,5778,1,34,17,55,1,33
Faculdade Adelmar Rosado,http://www.portalfar.edu.br/,portalfar,Brazil,2980,23098,16720,23811,8635,5778,1,29,8,20,6,6
Instituto Superior e Centro Educacional Luterano Bom Jesus,http://www.ielusc.br/,ielusc,Brazil,1314,14638,10776,14343,8635,5778,1,1,4,0,0,0
Faculdade Entre Rios do Piauí FAERPI,http://www.faerpi.com/,faerpi,Brazil,3563,25547,25768,25041,8635,5778,1,3,0,2,0,0
Escuela Normal Superior del Estado de Coahuila,http://www.ense.sepc.edu.mx/,ense,Mexico,3559,25528,25539,25160,8635,5778,1,1,0,0,0,0
Faculdade de Castro INEC,http://www.facastro.edu.br/,facastro,Brazil,3425,24927,25362,24440,8635,5778,1,1,0,3,2,0
Instituto Nacional de Formación Técnica Profesional Humberto Velásquez García,http://www.infotephvg.edu.co/,infotephvg,Colombia,3142,23809,21583,23933,8635,5778,1,1,0,0,0,0
Faculdade Independente do Nordeste FAINOR,http://www.fainor.com.br/,fainor,Brazil,1404,15441,5951,16524,8635,5778,1,1,0,0,0,0
Queen's Royal College,http://www.qrc.edu/,qrc,Trinidad and Tobago,1191,13582,23304,9800,8635,5778,1,1,0,0,0,7
Instituto Nacional de Formación Técnica Profesional Humberto Velasquez Garcia,http://www.infotep.edu.co/,infotep,Colombia,608,6485,8692,3243,8635,5778,1,1,0,0,0,0
Universidad del Pedregal,http://www.upedregal.edu.mx/,upedregal,Mexico,1597,16838,11984,17042,8635,5778,0,72,37,57,153,82
Academia de Policía Walter Mendoza Martínez,http://www.edudis-policia.edu.ni/,edudis-policia,Nicaragua,3051,23384,6602,25041,8635,5778,0,58,34,27,0,0
Instituto Latinoamericano de Ciencias y Humanidades,http://www.ilaleon.com/,ilaleon,Mexico,3170,23887,23503,23678,8635,5778,0,60,3,11,0,6
Faculdade Joaquim Nabuco,http://www.joaquimnabuco.edu.br/,joaquimnabuco,Brazil,1443,15718,9047,16272,8635,5778,0,18,2,5,1,6
UCP Faculdades do Centro do Paraná Pitanga FATEC Ivaiporã,http://ucpparana.edu.br/,ucpparana,Brazil,2466,20993,15882,21552,8635,5778,0,1,1,1,0,6